order,mod,packageId,defName,label,techLevel,baseCost,techprints,tab,bench,facilities,prerequisites,file
2,Core,ludeon.rimworld,PsychoidBrewing,psychoid brewing,Neolithic,500,0,Main,,,,Defs\ResearchProjectDefs\ResearchProjects_1.xml
2,Core,ludeon.rimworld,TreeSowing,tree sowing,Neolithic,1000,0,Main,,,,Defs\ResearchProjectDefs\ResearchProjects_1.xml
2,Core,ludeon.rimworld,Brewing,beer brewing,Neolithic,400,0,Main,,,,Defs\ResearchProjectDefs\ResearchProjects_1.xml
2,Core,ludeon.rimworld,ComplexFurniture,complex furniture,Medieval,300,0,Main,,,,Defs\ResearchProjectDefs\ResearchProjects_1.xml
2,Core,ludeon.rimworld,PassiveCooler,passive cooler,Neolithic,400,0,Main,,,,Defs\ResearchProjectDefs\ResearchProjects_1.xml
2,Core,ludeon.rimworld,Stonecutting,stonecutting,Medieval,300,0,Main,,,,Defs\ResearchProjectDefs\ResearchProjects_1.xml
2,Core,ludeon.rimworld,ComplexClothing,complex clothing,Medieval,600,0,Main,,,,Defs\ResearchProjectDefs\ResearchProjects_1.xml
2,Core,ludeon.rimworld,DrugProduction,drug production,Industrial,500,0,Main,,,,Defs\ResearchProjectDefs\ResearchProjects_1.xml
2,Core,ludeon.rimworld,Cocoa,cocoa,Neolithic,1000,0,Main,,,TreeSowing,Defs\ResearchProjectDefs\ResearchProjects_1.xml
2,Core,ludeon.rimworld,Devilstrand,devilstrand,Neolithic,800,0,Main,,,,Defs\ResearchProjectDefs\ResearchProjects_1.xml
2,Core,ludeon.rimworld,CarpetMaking,carpet-making,Medieval,800,0,Main,,,,Defs\ResearchProjectDefs\ResearchProjects_1.xml
2,Core,ludeon.rimworld,Pemmican,pemmican,Neolithic,500,0,Main,,,,Defs\ResearchProjectDefs\ResearchProjects_1.xml
2,Core,ludeon.rimworld,Smithing,smithing,Medieval,700,0,Main,,,,Defs\ResearchProjectDefs\ResearchProjects_1.xml
2,Core,ludeon.rimworld,RecurveBow,recurve bow,Neolithic,400,0,Main,,,,Defs\ResearchProjectDefs\ResearchProjects_1.xml
2,Core,ludeon.rimworld,PsychiteRefining,psychite refining,Industrial,400,0,Main,,,DrugProduction,Defs\ResearchProjectDefs\ResearchProjects_1.xml
2,Core,ludeon.rimworld,WakeUpProduction,wake-up production,Industrial,600,0,Main,,,DrugProduction,Defs\ResearchProjectDefs\ResearchProjects_1.xml
2,Core,ludeon.rimworld,GoJuiceProduction,go-juice production,Industrial,1000,0,Main,,,DrugProduction,Defs\ResearchProjectDefs\ResearchProjects_1.xml
2,Core,ludeon.rimworld,PenoxycylineProduction,penoxycyline production,Industrial,500,0,Main,,,DrugProduction,Defs\ResearchProjectDefs\ResearchProjects_1.xml
2,Core,ludeon.rimworld,LongBlades,long blades,Medieval,400,0,Main,,,Smithing,Defs\ResearchProjectDefs\ResearchProjects_1.xml
2,Core,ludeon.rimworld,PlateArmor,plate armor,Medieval,600,0,Main,,,Smithing;ComplexClothing,Defs\ResearchProjectDefs\ResearchProjects_1.xml
2,Core,ludeon.rimworld,Greatbow,greatbow,Medieval,600,0,Main,,,RecurveBow,Defs\ResearchProjectDefs\ResearchProjects_1.xml
2,Core,ludeon.rimworld,Electricity,electricity,Industrial,1600,0,Main,,,,Defs\ResearchProjectDefs\ResearchProjects_2_Electricity.xml
2,Core,ludeon.rimworld,Batteries,battery,Industrial,400,0,Main,,,Electricity,Defs\ResearchProjectDefs\ResearchProjects_2_Electricity.xml
2,Core,ludeon.rimworld,BiofuelRefining,biofuel refining,Industrial,700,0,Main,,,Electricity,Defs\ResearchProjectDefs\ResearchProjects_2_Electricity.xml
2,Core,ludeon.rimworld,WatermillGenerator,watermill generator,Industrial,700,0,Main,,,Electricity,Defs\ResearchProjectDefs\ResearchProjects_2_Electricity.xml
2,Core,ludeon.rimworld,NutrientPaste,nutrient paste,Industrial,400,0,Main,,,Electricity,Defs\ResearchProjectDefs\ResearchProjects_2_Electricity.xml
2,Core,ludeon.rimworld,SolarPanels,solar panel,Industrial,600,0,Main,,,Electricity,Defs\ResearchProjectDefs\ResearchProjects_2_Electricity.xml
2,Core,ludeon.rimworld,AirConditioning,air conditioning,Industrial,500,0,Main,,,Electricity,Defs\ResearchProjectDefs\ResearchProjects_2_Electricity.xml
2,Core,ludeon.rimworld,Autodoors,autodoor,Industrial,600,0,Main,,,Electricity,Defs\ResearchProjectDefs\ResearchProjects_2_Electricity.xml
2,Core,ludeon.rimworld,Hydroponics,hydroponics,Industrial,700,0,Main,,,Electricity,Defs\ResearchProjectDefs\ResearchProjects_2_Electricity.xml
2,Core,ludeon.rimworld,TubeTelevision,tube television,Industrial,1000,0,Main,,,Electricity,Defs\ResearchProjectDefs\ResearchProjects_2_Electricity.xml
2,Core,ludeon.rimworld,PackagedSurvivalMeal,packaged survival meal,Industrial,500,0,Main,,,NutrientPaste,Defs\ResearchProjectDefs\ResearchProjects_2_Electricity.xml
2,Core,ludeon.rimworld,Firefoam,firefoam,Industrial,600,0,Main,,,Electricity,Defs\ResearchProjectDefs\ResearchProjects_2_Electricity.xml
2,Core,ludeon.rimworld,IEDs,IEDs,Industrial,500,0,Main,,,Electricity,Defs\ResearchProjectDefs\ResearchProjects_2_Electricity.xml
2,Core,ludeon.rimworld,GeothermalPower,geothermal power,Industrial,3200,0,Main,,,Electricity,Defs\ResearchProjectDefs\ResearchProjects_2_Electricity.xml
2,Core,ludeon.rimworld,SterileMaterials,sterile materials,Industrial,600,0,Main,,,Electricity,Defs\ResearchProjectDefs\ResearchProjects_2_Electricity.xml
2,Core,ludeon.rimworld,ColoredLights,advanced lights,Industrial,300,0,Main,,,Electricity,Defs\ResearchProjectDefs\ResearchProjects_2_Electricity.xml
2,Core,ludeon.rimworld,Machining,machining,Industrial,1000,0,Main,,,Electricity;Smithing,Defs\ResearchProjectDefs\ResearchProjects_2_Electricity.xml
2,Core,ludeon.rimworld,SmokepopBelt,smokepop packs,Industrial,300,0,Main,,,Machining,Defs\ResearchProjectDefs\ResearchProjects_2_Electricity.xml
