order,mod,packageId,defName,label,kind,techLevel,marketValue,parent,categories,research,file
2,Core,ludeon.rimworld,TextBook,textbook,item,(none),160,BookBase,Books,,Defs\Books\BookDefs.xml
2,Core,ludeon.rimworld,Schematic,schematic,item,(none),150,BookBase,Books,,Defs\Books\BookDefs.xml
2,Core,ludeon.rimworld,Novel,novel,item,(none),160,BookBase,Books,,Defs\Books\BookDefs.xml
2,Core,ludeon.rimworld,Beer,beer,food/drug,Neolithic,12,DrugBase,Drugs,,Defs\Drugs\Alcohol_Beer.xml
2,Core,ludeon.rimworld,Wort,wort,item,(none),2.5,ResourceBase,Manufactured,,Defs\Drugs\Alcohol_Beer.xml
2,Core,ludeon.rimworld,Ambrosia,ambrosia,food/drug,Neolithic,15,DrugBase,Drugs,,Defs\Drugs\Ambrosia.xml
2,Core,ludeon.rimworld,GoJuice,go-juice,food/drug,Industrial,53,MakeableDrugBase,Drugs,GoJuiceProduction,Defs\Drugs\GoJuice.xml
2,Core,ludeon.rimworld,Luciferium,luciferium,food/drug,Ultra,70,DrugPillBase,Drugs,,Defs\Drugs\Luciferium.xml
2,Core,ludeon.rimworld,Penoxycyline,penoxycyline,food/drug,Industrial,18,MakeableDrugPillBase,Drugs,PenoxycylineProduction,Defs\Drugs\Penoxycyline.xml
2,Core,ludeon.rimworld,Flake,flake,food/drug,Industrial,14,MakeableDrugBase,Drugs,PsychiteRefining,Defs\Drugs\Psychite_Flake.xml
2,Core,ludeon.rimworld,PsychiteTea,psychite tea,food/drug,Neolithic,10,MakeableDrugBase,Drugs,PsychoidBrewing,Defs\Drugs\Psychite_Tea.xml
2,Core,ludeon.rimworld,Yayo,yayo,food/drug,Industrial,21,MakeableDrugBase,Drugs,PsychiteRefining,Defs\Drugs\Psychite_Yayo.xml
2,Core,ludeon.rimworld,SmokeleafJoint,smokeleaf joint,food/drug,Neolithic,11,MakeableDrugBase,Drugs,,Defs\Drugs\Smokeleaf.xml
2,Core,ludeon.rimworld,WakeUp,wake-up,food/drug,Industrial,35,MakeableDrugPillBase,Drugs,WakeUpProduction,Defs\Drugs\WakeUp.xml
2,Core,ludeon.rimworld,Mote_SparkThrown,Mote,mote,(none),,MoteBase,,,Defs\Effects\Effecter_Construction.xml
2,Core,ludeon.rimworld,Mote_SparkThrownFast,Mote,mote,(none),,MoteBase,,,Defs\Effects\Effecter_Damage.xml
2,Core,ludeon.rimworld,Mote_SparkThrownFastBlue,Mote,mote,(none),,MoteBase,,,Defs\Effects\Effecter_Damage.xml
2,Core,ludeon.rimworld,Mote_LongSparkThrown,Mote,mote,(none),,MoteBase,,,Defs\Effects\Effecter_Damage.xml
2,Core,ludeon.rimworld,Mote_Splash,Mote,mote,(none),,MoteBase,,,Defs\Effects\Effecter_Damage.xml
2,Core,ludeon.rimworld,Mote_ToxicDamage,Mote,mote,(none),,MoteBase,,,Defs\Effects\Effecter_Damage.xml
2,Core,ludeon.rimworld,Mote_SmokeJoint,Mote,mote,(none),,MoteBase,,,Defs\Effects\Effecter_Ingest.xml
2,Core,ludeon.rimworld,Mote_SmokeFlake,Mote,mote,(none),,MoteBase,,,Defs\Effects\Effecter_Ingest.xml
2,Core,ludeon.rimworld,Mote_ExtinguisherPuff,Mote,mote,(none),,MoteBase,,,Defs\Effects\Effecter_Misc.xml
